symbol	ID4.CTRL.T24.A_0700761761	ID4.CTRL.T24.B_0700761771	ID4.CTRL.T24.C_0700761781	ID5.LPS.T24.A_0700761791	ID5.LPS.T24.B_0700761801	ID5.LPS.T24.C_0700761811	ID6.ConA.T24.A_0700761821	ID6.ConA.T24.B_0700761831	ID6.ConA.T24.C_0700761841	ID7.MX1.T24.A_0700761851	ID7.MX1.T24.B_0700761861	ID7.MX1.T24.C_0700761871	ID9.MX3.T24.A_0700761911	ID9.MX3.T24.B_0700761921	ID9.MX3.T24.C_0700761931	ID11.MX5.T24.A_0700761971	ID11.MX5.T24.B_0700761981	ID11.MX5.T24.C_0700761991
A1BG	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
A1BG-AS1	3.58496250072116	3.16992500144231	3.32192809488736	3.70043971814109	3.4594316186373	3.32192809488736	3.90689059560852	3.16992500144231	3.4594316186373	3.32192809488736	2.32192809488736	3.4594316186373	3.16992500144231	3.32192809488736	2.32192809488736	3.16992500144231	3.32192809488736	3.70043971814109
A1CF	0	0	0	0	0	0	0	1	1	0	0	0	1.58496250072116	0	1	1	0	0
A2M	4.58496250072116	4.24792751344359	3	1.58496250072116	1.58496250072116	0	0	0	1	3.32192809488736	3.90689059560852	3.70043971814109	3.70043971814109	4	2.32192809488736	3.4594316186373	4.32192809488736	4.08746284125034
A2ML1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1
A2MP1	0	0	1	0	0	1	0	0	0	0	0	0	2	2	0	1.58496250072116	0	0
A4GALT	1.58496250072116	3.32192809488736	2.8073549220576	2.32192809488736	3.90689059560852	3	0	2.58496250072116	2.32192809488736	2.32192809488736	2.58496250072116	3.32192809488736	1	1	2.32192809488736	2.32192809488736	2	2
A4GNT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AAAS	4.16992500144231	3.70043971814109	3.4594316186373	2.8073549220576	3	3.58496250072116	4.52356195605701	4.16992500144231	4	3.8073549220576	3.58496250072116	3.70043971814109	3.90689059560852	3.16992500144231	4.4594316186373	3	3.16992500144231	2.8073549220576
AACS	5.20945336562895	5.58496250072116	5.88264304936184	5.75488750216347	5.52356195605701	5.64385618977472	6.5077946401987	6.3037807481771	6.28540221886225	5.75488750216347	5.49185309632967	5.35755200461808	5.4262647547021	5.64385618977472	5.75488750216347	5.64385618977472	5.93073733756289	5.58496250072116
AACSP1	0	0	0	0	0	0	1	0	0	2	0	1.58496250072116	1	0	1.58496250072116	1	0	0
AADAC	1.58496250072116	2.58496250072116	2	0	1	2	1	0	0	1	2	2.32192809488736	1.58496250072116	2.8073549220576	2.32192809488736	0	2.32192809488736	1
AADACL2	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0
AADACL3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADACL4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AADAT	0	0	0	2	2	0	0	0	0	0	2	1	1	1	2.32192809488736	1	0	0
AAGAB	6.8073549220576	6.8073549220576	7.02236781302845	6.61470984411521	6.83289001416474	6.95419631038687	7.49185309632967	7.43462822763672	7.57742882803575	7.13955135239879	6.84549005094437	7.18982455888002	6.8703647195834	6.79441586635011	6.89481776330794	6.68650052718322	6.82017896241519	6.89481776330794
AAK1	8.82336724004623	8.89178370321831	9.19721669311005	9.09275714091985	8.98013957763916	9.21674585819531	8.24792751344359	8.17492568250068	8.04984854945056	8.95419631038687	8.70390357344466	8.65105169117893	9.00281501560705	8.74146698640115	8.89178370321831	8.60733031374961	9.16992500144231	9.05528243550119
AAMP	7.95419631038687	8.13442632022093	7.90689059560852	7.78790255939143	7.53138146051631	7.83920378809694	8.36632221424582	8.23840473932508	8.13442632022093	8.19475685442225	8.27146302790437	8.51569983828404	7.88264304936184	8.28540221886225	8.31288295528435	8.13442632022093	8.16992500144231	8.09803208296053
AANAT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AARS	7.19967234483636	7.55458885167764	7.4262647547021	6.37503943134692	6.75488750216347	6.62935662007961	7.85798099512757	7.85798099512757	7.75488750216347	7.66533591718518	7.93663793900257	7.8073549220576	7.4594316186373	7.7279204545632	7.73470962022584	7.76818432477693	7.76818432477693	7.54689445988764
AARS2	2.58496250072116	2	2.58496250072116	3.16992500144231	1.58496250072116	3.32192809488736	4	3	4	2	2.58496250072116	3.16992500144231	2.58496250072116	3.16992500144231	3.32192809488736	3.32192809488736	2.32192809488736	4.16992500144231
AARSD1	2.58496250072116	2.8073549220576	2.58496250072116	0	1.58496250072116	1	3	2.58496250072116	2	2.32192809488736	1.58496250072116	1	1	1	3	1.58496250072116	1.58496250072116	3
AASDH	6.55458885167764	6.33985000288462	6.65821148275179	6.55458885167764	6.93073733756289	6.78135971352466	6.12928301694497	6.37503943134692	6.16992500144231	6.5077946401987	6.4594316186373	6.44294349584873	6.70043971814109	6.64385618977472	6.76818432477693	6.33985000288462	6.71424551766612	6.4594316186373
AASDHPPT	7.91288933622996	7.81378119121704	7.4757334309664	7.68650052718322	7.76155123244448	7.74146698640115	7.98299357469431	8.13442632022093	8.12412131182919	7.99435343685886	7.77478705960117	7.60733031374961	7.77478705960117	8	7.78135971352466	7.6724253419715	7.74819284958946	7.63662462054365
AASS	1.58496250072116	2	2	2.8073549220576	2	2.58496250072116	3.16992500144231	2.32192809488736	3	1	3.16992500144231	1	3.16992500144231	3.32192809488736	3.16992500144231	2.32192809488736	1.58496250072116	1
AATF	6.39231742277876	6.56985560833095	6.37503943134692	6.37503943134692	6.04439411935845	6.18982455888002	6.8073549220576	6.78135971352466	6.76818432477693	6.28540221886225	6.56985560833095	6.4262647547021	6.76818432477693	6.76818432477693	6.6724253419715	6.2667865406949	6.35755200461808	6.16992500144231
AATK	5.28540221886225	5.88264304936184	5	5.12928301694497	4.24792751344359	5.28540221886225	4.32192809488736	3.8073549220576	4.64385618977472	4.8073549220576	4.52356195605701	4.75488750216347	4.4594316186373	4.95419631038687	4.8073549220576	4.8073549220576	4.58496250072116	4.58496250072116
ABAT	5.04439411935845	4.70043971814109	4.85798099512757	5.04439411935845	4.75488750216347	5.6724253419715	4.90689059560852	4.75488750216347	5.08746284125034	4.32192809488736	5.32192809488736	4.52356195605701	4.64385618977472	5.32192809488736	4.90689059560852	4.24792751344359	5.04439411935845	3.8073549220576
ABCA1	7.12928301694497	7.25738784269265	7.22881869049588	10.0251395622785	9.7714894695006	9.98726401207254	7.20945336562895	7.59991284218713	7.18982455888002	6.90689059560852	6.32192809488736	6.55458885167764	7.17990909001493	7.16992500144231	6.84549005094437	6.93073733756289	6.74146698640115	7.17990909001493
ABCA10	2	3.16992500144231	3.16992500144231	3.32192809488736	3.90689059560852	3.4594316186373	2.58496250072116	2.58496250072116	2	2.32192809488736	3.16992500144231	1.58496250072116	2.58496250072116	2.58496250072116	3	2.58496250072116	3.58496250072116	3
ABCA11P	1.58496250072116	1.58496250072116	1.58496250072116	2.8073549220576	2.8073549220576	3.32192809488736	0	1	2	1	2	1	1	2.8073549220576	1	2.32192809488736	2.32192809488736	3
ABCA12	1.58496250072116	0	0	0	2.32192809488736	0	0	0	2.58496250072116	1	0	0	0	1.58496250072116	0	0	1	1
ABCA13	0	2.8073549220576	2.8073549220576	2.58496250072116	1	2	2	1	2	3	1	1.58496250072116	1.58496250072116	3.70043971814109	2.32192809488736	2	2.8073549220576	2.32192809488736
ABCA17P	0	0	0	0	1	1	2	2	0	0	1	1	0	0	1	0	0	1
ABCA2	3.90689059560852	4.16992500144231	4.75488750216347	5	5.24792751344359	5.08746284125034	3	4	3.32192809488736	4.52356195605701	4.70043971814109	4.32192809488736	4.64385618977472	4	4.16992500144231	3.90689059560852	4.16992500144231	4.16992500144231
ABCA3	0	1	0	0	1.58496250072116	0	2.8073549220576	0	2	2.32192809488736	0	2.32192809488736	0	1.58496250072116	0	1	1.58496250072116	2
ABCA4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCA5	7.25738784269265	7.19967234483636	7.37503943134692	7.69348695749933	7.20945336562895	7.33091687811462	6.61470984411521	6.70043971814109	6.56985560833095	7.12928301694497	6.94251450533924	6.82017896241519	7.16992500144231	7.08746284125034	7.36632221424582	6.91886323727459	7.53915881110803	7.40087943628218
ABCA6	3.32192809488736	2	2.58496250072116	2.58496250072116	1.58496250072116	2.8073549220576	2	0	2	2	0	2	0	3.58496250072116	3.16992500144231	2.32192809488736	2.58496250072116	2.58496250072116
ABCA7	5.20945336562895	5	5.8073549220576	5.39231742277876	5.64385618977472	5.32192809488736	2	3.32192809488736	2.58496250072116	4.32192809488736	4.64385618977472	4.64385618977472	5.4262647547021	4.52356195605701	5.4262647547021	5.12928301694497	5.12928301694497	4.4594316186373
ABCA8	2	0	3.58496250072116	1	1	0	0	2	0	0	1	1	2.8073549220576	1	0	1	0	0
ABCA9	3.16992500144231	0	1	1.58496250072116	2.32192809488736	0	0	1	2	1	2.8073549220576	1	0	1.58496250072116	1.58496250072116	1.58496250072116	1.58496250072116	1
ABCB1	6.4262647547021	6.08746284125034	6.2667865406949	6.70043971814109	7.06608919045777	6.83289001416474	5.28540221886225	5.24792751344359	5.20945336562895	6.58496250072116	6.52356195605701	6.7279204545632	6.79441586635011	6.4757334309664	6.70043971814109	6.16992500144231	6.74146698640115	6.49185309632967
ABCB10	5.24792751344359	5.04439411935845	5.52356195605701	4.70043971814109	5.08746284125034	5.08746284125034	5.28540221886225	5.61470984411521	5.95419631038687	5	5.04439411935845	4.8073549220576	5.64385618977472	5.04439411935845	4.90689059560852	5	5.20945336562895	5.16992500144231
ABCB11	2	0	1	1.58496250072116	0	1	0	0	0	2.58496250072116	2	0	1	2.58496250072116	2	0	0	2
ABCB4	3.4594316186373	3.70043971814109	3.70043971814109	4.32192809488736	3	3	3.16992500144231	2.32192809488736	2.32192809488736	4.08746284125034	3.32192809488736	3.58496250072116	2	3.58496250072116	4	3.32192809488736	3.70043971814109	2.58496250072116
ABCB5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCB6	2	0	1	0	0	2	1	2	1	0	0	1	1	2	0	1.58496250072116	2.32192809488736	0
ABCB7	7.12928301694497	7.04439411935845	7.27612440527424	6.8703647195834	6.85798099512757	6.79441586635011	7.12928301694497	6.98868468677217	7.03342300153745	6.62935662007961	6.82017896241519	6.74146698640115	6.68650052718322	6.83289001416474	7.04439411935845	6.95419631038687	7.05528243550119	6.8703647195834
ABCB8	3.58496250072116	3	3.8073549220576	3.70043971814109	3.16992500144231	3.32192809488736	4.39231742277876	4.32192809488736	3.70043971814109	2.58496250072116	3.8073549220576	4	4	3.16992500144231	1.58496250072116	3.70043971814109	3	2.58496250072116
ABCB9	2	1	0	0	0	0	2	1	0	0	2.8073549220576	1	0	2.58496250072116	0	0	1	0
ABCC1	6.93073733756289	6.68650052718322	7.21916852046216	7.33091687811462	7.17990909001493	7.20945336562895	6.4594316186373	6.70043971814109	6.52356195605701	6.96578428466209	7.22881869049588	6.85798099512757	7.4178525148859	7.17990909001493	7	7.09803208296053	7.29462074889163	7.17990909001493
ABCC10	5.04439411935845	5.28540221886225	4.52356195605701	4.8073549220576	4.64385618977472	4.32192809488736	4.08746284125034	4.24792751344359	4.4594316186373	4.85798099512757	4.08746284125034	4.24792751344359	4.75488750216347	5.04439411935845	4.64385618977472	5.04439411935845	4.90689059560852	4.4594316186373
ABCC11	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ABCC12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ABCC13	2.58496250072116	2	3	1.58496250072116	1.58496250072116	2.32192809488736	2.32192809488736	1	2	2	1.58496250072116	2.32192809488736	1	4.4594316186373	3.4594316186373	2	1.58496250072116	3
ABCC2	0	3.16992500144231	2.8073549220576	2.8073549220576	3.32192809488736	3.16992500144231	2.58496250072116	2	0	3	3.32192809488736	1.58496250072116	2	2.58496250072116	3.4594316186373	2	2.32192809488736	2.8073549220576
